diag: siftsmall_base — 10000 vectors, dim 128, bits 2, seed 42
  external queries: 100 from data/siftsmall/siftsmall_query.fvecs
# Estimator-variance diagnostic — siftsmall_base

- dim **128**, db **10000**, queries **100**, seed **42**
- `g=⟨ō,o⟩` recon-to-truth cosine; `κ=√((1−g²)/g²)`; `σ_pred=κ/√(D−1)` (RaBitQ Thm-3.2 per-pair std); `σ_emp`=std(estimate−exact)

| backend | bits | M | mean g | κ | σ_pred | σ_emp | bias | recon MSE |
|---|---|---|---|---|---|---|---|---|
| turboquant_baseline | 2 | 0 | 0.8723 | 0.5584 | 0.04955 | 0.04112 | -0.05642 | 0.12633 |
| turboquant_residual | 2 | 0 | — | — | — | 0.07771 | -0.14411 | — |
| rabitq | 2 | 0 | 0.9346 | 0.3798 | 0.03370 | 0.03032 | -0.00296 | 0.13073 |
| trellis | 2 | 12 | 0.9679 | 0.2597 | 0.02305 | 0.02037 | +0.00023 | 0.06426 |
| pvq | 2 | 0 | 0.9347 | 0.3790 | 0.03363 | 0.03021 | +0.00328 | 0.13056 |
| eden | 2 | 0 | 0.9350 | 0.3785 | 0.03359 | 0.03033 | -0.00293 | 0.12995 |
| blockquant | 2 | 0 | 0.9483 | 0.3342 | 0.02965 | 0.02664 | -0.00146 | 0.10332 |
| e8 | 2 | 0 | 0.9537 | 0.3149 | 0.02794 | 0.02484 | +0.00065 | 0.09255 |

→ wrote <scratch-directory>/diag-siftsmall_base-m12-b2.md
